  File: `./PMT_Position_1ton.xml'
  Size: 7002      	Blocks: 16         IO Block: 2097152 regular file
Device: c102b520h/3238180128d	Inode: 144371452433455112  Links: 1
Access: (0644/-rw-r--r--)  Uid: ( 1662/wangzhe2)   Gid: (  100/   users)
Access: 2020-02-29 03:18:06.000000000 +0800
Modify: 2020-02-29 03:14:47.000000000 +0800
Change: 2020-02-29 03:15:06.000000000 +0800
Position data: 
0	428	139	700
8	0	451	700
16	-428	139	700
24	-265	-364	700
1	265	-364	700
9	796	0	245
17	644	467	245
25	245	756	245
2	-245	756	245
10	-644	467	245
18	-796	0	245
26	-644	-467	245
3	-245	-756	245
11	245	-756	245
19	644	-467	245
27	796	0	-245
4	644	467	-245
12	245	756	-245
20	-245	756	-245
28	-644	467	-245
5	-796	0	-245
13	-644	-467	-245
21	-245	-756	-245
29	245	-756	-245
6	644	-467	-245
14	428	139	-700
22	0	451	-700
23	-428	139	-700
7	-265	-364	-700
15	265	-364	-700
